nama_bapak,nama_ibu,nomor_rumah,jarak_rumah
Cakrawangsa Damanik,Rahmi Novi Laksita,1524,15962
Cakrawangsa Empluk Wacana,Ida Puspasari,1525,15966
Cakrawangsa Firgantoro,Elisa Rika Palastri S.Gz,1526,15981
Cakrawangsa Gandi Simbolon M.M.,Silvia Yolanda,1527,15988
Cakrawangsa Hidayat,Dewi Tania Hassanah,1528,16003
Cakrawangsa Irawan,Humaira Wahyuni,1529,16004
Cakrawangsa Kalim Prakasa,Genta Rahayu S.Psi,1530,16018
Cakrawangsa Karsa Siregar S.Sos,Zulaikha Hastuti S.IP,1531,16028
Cakrawangsa Kusumo,Dina Pertiwi M.Ak,1532,16035
Cakrawangsa Lasmono Tarihoran S.T.,Jasmin Wastuti S.Pt,1533,16036
Cakrawangsa Marpaung,Maria Rahimah,1534,16049
Cakrawangsa Napitupulu,Tari Ina Lailasari,1535,16063
Cakrawangsa Prabowo,Novi Dian Farida,1536,16065
Cakrawangsa Pradana,Ophelia Nurdiyanti,1537,16071
Cakrawangsa Pradipta,Ella Safina Pertiwi S.Psi,1538,16089
Cakrawangsa Rajasa,Farah Haryanti,1539,16097
Cakrawangsa Reksa Nababan M.Farm,Pia Oktaviani,1540,16110
Cakrawangsa Santoso S.T.,Ciaobella Novitasari,1541,16111
Cakrawangsa Siregar M.TI.,Fitria Oktaviani,1542,16125
Cakrawangsa Sitompul,Siti Icha Prastuti,1543,16143
Cakrawangsa Tedi Simanjuntak S.Ked,Tantri Kasiyah Handayani M.Farm,1544,16150
Cakrawangsa Waluyo,Diana Kasiyah Fujiati S.Gz,1545,16153
Cakrawangsa Waskita S.Psi,Bella Yuliarti,1546,16162
Cakrawangsa Wijaya,Jelita Nadine Susanti S.Kom,1547,16174
Cakrawangsa Wijaya S.T.,Ilsa Hassanah,1548,16177
Cakrawangsa Yosef Tampubolon,Gabriella Lestari S.Farm,1549,16179
Candra Ardianto,Ami Fujiati S.E.I,1550,16189
Candra Banara Mangunsong,Iriana Pratiwi,1551,16193
Candra Cakrawangsa Suryono,Agnes Almira Usamah,1552,16213
Candra Dono Waskita,Jelita Lailasari S.IP,1553,16232
Candra Hakim S.Gz,Ayu Handayani,1554,16243
Candra Hendra Lazuardi,Ilsa Clara Mandasari,1555,16248
Candra Irawan,Gasti Palastri,1556,16266
Candra Jayeng Habibi,Siska Rina Sudiati,1557,16273
Candra Lasmanto Lazuardi,Lalita Usada M.Pd,1558,16293
Candra Luthfi Wibowo,Fitriani Kuswandari,1559,16305
Candra Manullang,Widya Amelia Purwanti S.E.,1560,16311
Candra Pradipta,Sarah Kartika Rahayu,1561,16314
Candra Prasetyo S.T.,Laila Anggraini,1562,16323
Candra Raden Siregar S.H.,Unjani Hastuti,1563,16324
Candra Salman Marbun,Cornelia Puspita,1564,16328
Candra Sihombing,Mutia Titi Widiastuti S.I.Kom,1565,16335
Candra Simanjuntak,Paramita Winarsih,1566,16346
Candra Siregar,Kezia Hastuti,1567,16366
Candra Sitompul,Sarah Suartini S.I.Kom,1568,16386
Candra Utama,Indah Rahimah,1569,16393
Candra Uwais M.M.,Queen Paris Puspita S.Farm,1570,16411
Candra Yusuf Utama,Dian Anggraini,1571,16418
Candrakanta Empluk Ardianto,Fitria Andriani,1572,16438
Candrakanta Firmansyah S.Pd,Olivia Laksmiwati S.I.Kom,1573,16448
Candrakanta Habibi M.Ak,Dalima Hassanah S.IP,1574,16460
Candrakanta Hakim S.Farm,Intan Purwanti S.IP,1575,16478
Candrakanta Harto Putra,Kani Haryanti,1576,16486
Candrakanta Hidayat M.M.,Samiah Mala Puspasari M.M.,1577,16506
Candrakanta Hutagalung,Umi Farida,1578,16513
Candrakanta Hutapea,Septi Gilda Suartini,1579,16521
Candrakanta Kamidin Prakasa S.Pt,Ilsa Patricia Rahimah,1580,16539
Candrakanta Latupono,Devi Maryati,1581,16549
Candrakanta Mansur S.Farm,Zizi Rahmawati,1582,16564
Candrakanta Maryadi Putra,Michelle Riyanti S.Kom,1583,16583
Candrakanta Nashiruddin,Uli Zulaika,1584,16600
Candrakanta Pangestu,Julia Zamira Hassanah S.Sos,1585,16606
Candrakanta Pradana,Nabila Karimah Rahmawati S.E.I,1586,16623
Candrakanta Pradipta,Nadia Iriana Nasyidah S.Psi,1587,16637
Candrakanta Rajasa,Fitriani Purwanti S.Sos,1588,16646
Candrakanta Samosir,Uchita Hassanah,1589,16653
Candrakanta Setya Sinaga S.IP,Karimah Utami,1590,16661
Candrakanta Sihombing,Laras Astuti S.Pd,1591,16679
Candrakanta Sitompul,Qori Hartati,1592,16684
Candrakanta Wahyudin,Ratih Zizi Uyainah,1593,16697
Candrakanta Wibowo S.Kom,Farhunnisa Raisa Fujiati,1594,16712
Capa Damanik,Unjani Haryanti,1595,16730
Capa Dongoran,Fitria Handayani,1596,16731
Capa Galak Marpaung,Cici Agustina,1597,16750
Capa Gilang Prakasa,Salwa Susanti,1598,16770
Capa Irawan,Halima Hastuti,1599,16788
Capa Kajen Pratama,Kasiyah Yolanda,1600,16796
Capa Mandala S.IP,Zelda Rahayu,1601,16797
Capa Marsito Hardiansyah S.E.,Nabila Safitri,1602,16805
Capa Natsir,Gina Yulianti,1603,16819
Capa Nugroho,Paulin Nurdiyanti S.Pd,1604,16830
Capa Permadi S.Psi,Natalia Sudiati S.Ked,1605,16837
Capa Reksa Sihotang,Jane Astuti,1606,16843
Capa Samosir S.Farm,Vanya Hartati,1607,16858
Capa Sihombing,Bella Fitria Pertiwi,1608,16862
Capa Slamet Firgantoro M.Farm,Indah Lailasari,1609,16878
Capa Waluyo,Yulia Hartati,1610,16886
Capa Widodo,Calista Aryani,1611,16901
Capa Widodo M.Ak,Kasiyah Wastuti M.Farm,1612,16920
Caraka Adika Permadi M.M.,Yunita Hariyah,1613,16928
Caraka Adikara Simbolon M.M.,Fitriani Raisa Yolanda,1614,16933
Caraka Edi Haryanto,Dinda Hastuti,1615,16950
Caraka Eluh Thamrin,Tira Lintang Yuniar S.Sos,1616,16964
Caraka Hartaka Hutapea S.I.Kom,Sari Elvina Padmasari S.IP,1617,16976
Caraka Jaga Sihombing,Ira Rahimah,1618,16977
Caraka Mandala,Ilsa Kusmawati M.Farm,1619,16983
Caraka Marpaung,Padmi Lailasari,1620,16985
Caraka Najmudin,Kartika Aisyah Lailasari S.H.,1621,16999
Caraka Pranowo,Zulfa Andriani,1622,17001
Caraka Putra,Fitriani Oktaviani S.T.,1623,17004
Caraka Rajata,Silvia Rahmawati,1624,17009
Caraka Satya Santoso S.Pd,Gabriella Laksita,1625,17021
Caraka Setiawan,Victoria Puspita,1626,17030
Caraka Thamrin,Paramita Melani,1627,17048
Caraka Waluyo S.Farm,Aurora Lintang Sudiati S.Pd,1628,17056
Carub Bakiman Adriansyah,Kamila Rahimah S.I.Kom,1629,17057
Carub Edison Prasasta S.Gz,Puspa Zalindra Purnawati S.H.,1630,17069
Carub Gambira Narpati S.Pt,Janet Fitriani Prastuti,1631,17087
Carub Gunarto,Maria Melani M.Pd,1632,17100
Carub Haryanto S.Sos,Almira Suartini,1633,17111
Carub Hidayanto,Kezia Siska Yuniar S.E.,1634,17116
Carub Jailani,Carla Indah Laksmiwati,1635,17125
Carub Kurniawan,Almira Lala Lestari,1636,17134
Carub Megantara,Zulaikha Nuraini S.E.I,1637,17147
Carub Narpati,Agnes Puspasari S.Ked,1638,17161
Carub Nrima Mangunsong M.Kom.,Silvia Lestari,1639,17165
Carub Pratama,Safina Uli Purnawati M.M.,1640,17172
Carub Ramadan,Latika Pratiwi,1641,17174
Carub Rangga Habibi M.Farm,Icha Anggraini M.Kom.,1642,17188
Carub Saptono,Icha Purnawati,1643,17189
Carub Sitompul S.Pt,Zulaikha Winarsih,1644,17190
Catur Adriansyah S.Pd,Widya Mayasari,1645,17205
Catur Asmianto Firmansyah M.Kom.,Samiah Syahrini Wahyuni,1646,17220
Catur Balangga Wibisono S.E.I,Salsabila Ida Lailasari M.TI.,1647,17233
Catur Balapati Anggriawan S.Farm,Zamira Puspasari,1648,17253
Catur Damanik,Tami Farida,1649,17258
Catur Enteng Prasetya,Dalima Andriani,1650,17271
Catur Ikhsan Thamrin S.Ked,Sabrina Rahmawati,1651,17276
Catur Iswahyudi M.TI.,Farhunnisa Novitasari S.Kom,1652,17293
Catur Ivan Thamrin,Sabrina Mandasari S.Ked,1653,17303
Catur Jailani,Rina Yolanda,1654,17306
Catur Jarwadi Siregar S.Farm,Zulaikha Palastri,1655,17308
Catur Lazuardi,Pia Purwanti,1656,17325
Catur Marbun,Puji Wahyuni,1657,17327
Catur Najmudin,Elma Mayasari S.Ked,1658,17331
Catur Rajata S.Gz,Septi Zelda Suartini S.Sos,1659,17332
Catur Teddy Siregar,Hasna Sadina Aryani,1660,17334
Catur Thamrin,Cindy Hassanah M.Farm,1661,17353
Catur Wibowo,Elvina Hastuti,1662,17368
Catur Yusuf Waluyo S.Ked,Raina Kusmawati,1663,17369
Caturangga Aris Sihombing,Kezia Nasyidah S.Sos,1664,17386
Caturangga Dabukke,Ira Andriani,1665,17389
Caturangga Damu Megantara S.E.I,Safina Dewi Lailasari,1666,17406
Caturangga Hutagalung,Ratih Amalia Namaga M.Kom.,1667,17420
Caturangga Jumadi Hutagalung,Mutia Yulianti,1668,17423
Caturangga Kalim Halim,Melinda Calista Hariyah S.IP,1669,17432
Caturangga Kuswoyo S.Farm,Elisa Suryatmi,1670,17449
Caturangga Marpaung,Ratna Utami M.M.,1671,17451
Caturangga Radit Jailani S.E.I,Qori Yulianti,1672,17452
Caturangga Raharja Santoso,Almira Laksita M.Farm,1673,17472
Caturangga Ramadan,Nadia Nurdiyanti,1674,17492
Caturangga Sihotang,Eva Hasanah,1675,17499
Caturangga Zulkarnain,Puspa Ifa Melani,1676,17518
Cawisadi Banawa Prayoga,Amelia Haryanti,1677,17519
Cawisadi Budiman,Maria Purwanti,1678,17524
Cawisadi Dasa Manullang S.E.I,Salwa Suartini,1679,17538
Cawisadi Dimas Marbun,Raisa Kuswandari,1680,17540
Cawisadi Gamblang Kurniawan S.Psi,Julia Handayani,1681,17547
Cawisadi Garan Nababan S.IP,Cornelia Yolanda,1682,17567
Cawisadi Maheswara S.Kom,Mutia Oni Hasanah S.Farm,1683,17568
Cawisadi Manullang,Gina Olivia Puspasari S.Pd,1684,17578
Cawisadi Mustofa M.M.,Puput Namaga,1685,17590
Cawisadi Najib Mahendra,Shania Paramita Hariyah,1686,17596
Cawisadi Nugroho,Ira Pertiwi,1687,17607
Cawisadi Paiman Marbun,Suci Haryanti,1688,17620
Cawisadi Salahudin,Cindy Lili Puspasari,1689,17638
Cawisadi Sihombing,Rahayu Amalia Farida S.Psi,1690,17643
Cawisadi Sirait,Restu Lailasari,1691,17644
Cawisadi Sirait M.Farm,Novi Namaga,1692,17649
Cawisadi Wacana,Rahayu Safitri M.Pd,1693,17653
Cawisadi Waskita,Oni Wahyuni,1694,17660
Cawisadi Wibowo,Silvia Violet Novitasari M.Farm,1695,17670
Cawisono Adriansyah,Zahra Nurdiyanti,1696,17673
Cawisono Budiyanto,Intan Tantri Safitri,1697,17688
Cawisono Daniswara Damanik,Salimah Wahyuni,1698,17692
Cawisono Danuja Sinaga M.M.,Karimah Yance Nurdiyanti,1699,17710
Cawisono Halim S.Farm,Ratna Hartati,1700,17724
Cawisono Hidayat M.Ak,Ira Agustina S.T.,1701,17739
Cawisono Irsad Tampubolon M.TI.,Eli Kania Pertiwi,1702,17746
Cawisono Marsito Marbun M.Farm,Nova Gawati Suryatmi S.Pt,1703,17747
Cawisono Megantara,Aisyah Pertiwi,1704,17760
Cawisono Mumpuni Samosir S.Farm,Uchita Usada,1705,17773
Cawisono Narpati,Azalea Usamah M.Pd,1706,17792
Cawisono Pradana S.Farm,Wani Wahyuni,1707,17810
Cawisono Pranowo S.H.,Hani Janet Andriani,1708,17824
Cawisono Pratama,Uli Purnawati M.M.,1709,17840
Cawisono Ramadan S.Sos,Maimunah Lestari S.Pd,1710,17853
Cawisono Tamba,Rachel Mandasari,1711,17866
Cawuk Ade Pradana S.Pd,Ratna Nurdiyanti,1712,17870
Cawuk Anggriawan,Lintang Siti Yuliarti,1713,17886
Cawuk Asirwanda Prakasa S.Ked,Jane Lala Suartini,1714,17899
Cawuk Drajat Setiawan,Titin Prastuti S.E.I,1715,17916
Cawuk Hidayanto S.E.,Violet Zizi Wahyuni M.TI.,1716,17929
Cawuk Hidayat,Janet Mulyani,1717,17933
Cawuk Ihsan Wibisono,Dalima Purwanti M.Ak,1718,17948
Cawuk Mahendra M.Pd,Ade Mayasari,1719,17955
Cawuk Manullang,Zelaya Patricia Kuswandari,1720,17969
Cawuk Maulana S.Pt,Kasiyah Rahimah S.IP,1721,17988
Cawuk Mursinin Narpati S.Sos,Lidya Handayani S.Gz,1722,18002
Cawuk Ramadan,Aurora Usamah,1723,18004
Cawuk Rizki Budiyanto S.Pt,Padmi Yulianti,1724,18011
Cawuk Salahudin S.E.,Silvia Mardhiyah,1725,18018
Cawuk Santoso,Eli Elvina Nurdiyanti S.IP,1726,18028
Cawuk Saputra,Ayu Nurdiyanti M.TI.,1727,18035
Cawuk Sihombing M.Pd,Gilda Purwanti,1728,18045
Cawuk Sihotang,Sari Putri Namaga,1729,18051
Cawuk Simbolon,Vanya Nadia Fujiati S.Gz,1730,18056
Cawuk Suwarno M.M.,Zamira Rahimah,1731,18068
Cawuk Taufan Wijaya,Puspa Alika Handayani,1732,18079
Cawuk Wahyudin,Wirda Sudiati,1733,18097
Cawuk Wasita S.E.,Tari Kusmawati S.H.,1734,18113
Cawuk Wibisono,Salwa Hariyah,1735,18131
Cawuk Xanana Hakim,Pia Hartati,1736,18138
Cayadi Karya Saptono S.Ked,Umi Ratna Hastuti M.Farm,1737,18144
Cayadi Latupono,Betania Oktaviani S.Pd,1738,18154
Cayadi Mahendra S.Psi,Putri Suryatmi,1739,18157
Cayadi Najmudin S.I.Kom,Tiara Hasanah,1740,18175
Cayadi Saka Utama,Halima Mayasari,1741,18182
Cayadi Saptono,Zulaikha Mandasari S.Farm,1742,18187
Cayadi Siregar,Yulia Andriani,1743,18203
Cayadi Wakiman Pradana S.Gz,Ratih Susanti,1744,18223
Cayadi Waluyo,Ami Puspasari,1745,18229
Cayadi Winarno,Febi Andriani,1746,18232
Cecep Arsipatra Sitorus S.T.,Maya Dalima Haryanti,1747,18249
Cecep Aslijan Firmansyah,Lili Anggraini,1748,18251
Cecep Asmadi Latupono,Cici Ani Puspasari,1749,18266
Cecep Capa Situmorang S.I.Kom,Sakura Nasyiah,1750,18283
Cecep Cawisono Hidayanto,Mutia Sudiati,1751,18288
Cecep Gunarto,Safina Gasti Suartini,1752,18302
Cecep Hakim,Winda Pudjiastuti,1753,18318
Cecep Hutasoit,Padma Nasyidah,1754,18328
Cecep Kambali Dabukke,Pia Farah Laksita M.Ak,1755,18348
Cecep Karman Latupono S.Sos,Salwa Tiara Sudiati M.Ak,1756,18366
Cecep Latif Nainggolan,Azalea Fitria Hassanah S.Gz,1757,18386
Cecep Pandu Prasasta S.Sos,Clara Nasyiah,1758,18389
Cecep Prabowo M.M.,Wani Syahrini Hariyah,1759,18393
Cecep Raihan Hutagalung S.T.,Diana Maryati,1760,18410
Cecep Ramadan,Clara Diana Kuswandari S.H.,1761,18428
Cecep Santoso,Julia Halimah S.Sos,1762,18447
Cecep Siregar,Nurul Janet Rahmawati,1763,18464
Cecep Wibisono,Ilsa Wulandari,1764,18479
Cemani Budiman,Yunita Nilam Nasyiah M.Farm,1765,18497
Cemani Dipa Siregar S.IP,Karen Uyainah S.Psi,1766,18508
Cemani Galak Ardianto,Hilda Talia Hastuti,1767,18513
Cemani Habibi S.IP,Maya Azalea Laksmiwati,1768,18519
Cemani Hidayat,Jessica Rahayu,1769,18530
Cemani Hutagalung,Cornelia Maryati,1770,18541
Cemani Kusumo,Jasmin Jamalia Novitasari,1771,18548
Cemani Maheswara S.H.,Ami Tiara Laksmiwati,1772,18557
Cemani Maman Pratama,Endah Puspita M.Kom.,1773,18575
Cemani Mulyanto Siregar,Jamalia Anastasia Lestari,1774,18577
Cemani Pangestu M.Ak,Natalia Amalia Anggraini,1775,18581
Cemani Pangestu Nashiruddin S.H.,Salimah Cinthia Hariyah,1776,18585
Cemani Sakti Situmorang S.I.Kom,Puspa Melani,1777,18592
Cemani Sakti Wibisono S.I.Kom,Maida Pudjiastuti,1778,18601
Cemani Saragih S.Pt,Najwa Diana Mardhiyah M.TI.,1779,18612
Cemani Setiawan S.Pd,Oliva Rahayu Wahyuni,1780,18631
Cemani Sihombing,Umi Kuswandari,1781,18641
Cemani Simbolon S.Gz,Victoria Sari Yulianti S.Gz,1782,18661
Cemani Sinaga,Cindy Puspasari,1783,18668
Cemani Tampubolon,Winda Andriani S.Sos,1784,18682
Cemani Utama,Icha Salimah Yuliarti M.M.,1785,18690
Cemani Viman Manullang S.Gz,Fitriani Andriani,1786,18693
Cemani Wacana,Diah Yunita Novitasari,1787,18707
Cemani Widodo,Ella Rahmi Rahmawati,1788,18721
Cemeti Darman Wasita,Kartika Vivi Halimah M.M.,1789,18731
Cemeti Dipa Marbun M.Kom.,Ika Paris Namaga S.Kom,1790,18745
Cemeti Estiono Saefullah,Tania Anggraini,1791,18749
Cemeti Firgantoro S.Kom,Rahmi Anita Fujiati S.Sos,1792,18750
Cemeti Firmansyah,Umi Hariyah S.E.,1793,18764
Cemeti Harsana Napitupulu,Melinda Yulianti,1794,18777
Cemeti Hutapea,Ciaobella Oktaviani,1795,18787
Cemeti Iswahyudi,Suci Zalindra Suryatmi,1796,18802
Cemeti Jaeman Kurniawan S.E.,Lintang Hasanah,1797,18821
Cemeti Kurniawan,Vanya Yuniar,1798,18825
Cemeti Mangunsong M.Farm,Rahayu Novitasari,1799,18843
Cemeti Maulana,Safina Maryati S.Farm,1800,18858
Cemeti Prakasa,Febi Haryanti,1801,18871
Cemeti Prayoga S.Sos,Tiara Melani S.I.Kom,1802,18874
Cemeti Rajata,Nova Purwanti,1803,18878
Cemeti Sihotang,Yunita Tiara Nuraini M.Kom.,1804,18880
Cemeti Sinaga S.Ked,Ina Purwanti M.Kom.,1805,18898
Cemeti Tampubolon,Laila Nuraini,1806,18911
Cemeti Tarihoran S.E.,Shakila Padma Permata,1807,18922
Cemeti Umay Kuswoyo M.Kom.,Melinda Wijayanti,1808,18935
Cemplunk Adriansyah,Padma Suryatmi,1809,18938
Cemplunk Adriansyah S.Psi,Ghaliyati Mandasari S.T.,1810,18947
Cemplunk Cakrajiya Rajata,Vivi Yulianti,1811,18965
Cemplunk Dabukke,Samiah Cinthia Hastuti S.Sos,1812,18966
Cemplunk Damanik,Eva Mulyani M.Farm,1813,18983
Cemplunk Jaeman Samosir S.IP,Zalindra Padmi Yuliarti S.H.,1814,18989
Cemplunk Jailani M.TI.,Puput Victoria Purwanti M.Farm,1815,19006
Cemplunk Jefri Pangestu,Ulya Vanesa Pratiwi,1816,19014
Cemplunk Kenzie Pranowo,Ika Winarsih,1817,19029
Cemplunk Luthfi Mahendra S.H.,Ami Ade Melani S.Pt,1818,19036
Cemplunk Mahendra,Kani Yuniar M.TI.,1819,19043
Cemplunk Mahesa Thamrin S.E.I,Kezia Ophelia Astuti,1820,19055
Cemplunk Marbun,Dinda Wastuti S.Pd,1821,19071
Cemplunk Mustofa,Zamira Usada S.IP,1822,19073
Cemplunk Natsir S.Sos,Umi Haryanti S.H.,1823,19078
Cemplunk Pranowo,Ophelia Hana Riyanti,1824,19083
Cemplunk Prasasta S.E.,Yani Susanti,1825,19085
Cemplunk Saputra,Rachel Carla Oktaviani,1826,19102
Cemplunk Setiawan,Salimah Mayasari,1827,19116
Cemplunk Sihombing,Samiah Hani Wahyuni S.Gz,1828,19117
Cemplunk Tasnim Anggriawan S.T.,Rina Laila Novitasari S.Farm,1829,19120
Cemplunk Tugiman Prakasa,Intan Mulyani,1830,19130
Cemplunk Wibowo,Kartika Usamah,1831,19142
Cemplunk Widodo M.M.,Gasti Icha Pertiwi S.Kom,1832,19143
Cengkal Bambang Pradana S.I.Kom,Talia Vanya Melani S.E.,1833,19151
Cengkal Budiman,Siska Mulyani S.E.,1834,19163
Cengkal Darmanto Pangestu,Eli Safina Rahayu,1835,19169
Cengkal Gadang Saputra,Vanesa Pia Purwanti,1836,19187
Cengkal Gandi Wasita S.I.Kom,Cornelia Laksmiwati,1837,19204
Cengkal Jumari Ardianto,Faizah Kasiyah Sudiati S.IP,1838,19224
Cengkal Mahendra,Titin Yuliarti,1839,19225
Cengkal Mangunsong,Rahmi Vivi Novitasari S.T.,1840,19236
Cengkal Manullang,Genta Yulianti S.Ked,1841,19240
Cengkal Maryadi,Eka Anastasia Aryani S.Sos,1842,19254
Cengkal Mustofa Najmudin S.Gz,Sakura Andriani,1843,19266
Cengkal Natsir,Kamaria Uyainah,1844,19268
Cengkal Opan Habibi M.Kom.,Rika Melinda Hartati S.H.,1845,19277
Cengkal Prayoga Saefullah M.Farm,Vanya Farida,1846,19290
Cengkal Putra,Pia Wijayanti,1847,19291
Cengkal Raharja Hidayat S.Farm,Ella Andriani,1848,19310
Cengkal Rajata,Raina Jelita Aryani,1849,19315
Cengkal Sihombing,Ratih Mardhiyah,1850,19333
Cengkal Simbolon,Kamila Lala Pudjiastuti,1851,19338
Cengkal Sitompul,Iriana Nurdiyanti,1852,19349
Cengkal Wasita,Silvia Nilam Purwanti,1853,19351
Cengkal Zulkarnain,Rahmi Zulfa Palastri M.Farm,1854,19370
Cengkir Among Iswahyudi,Zalindra Wastuti,1855,19371
Cengkir Budiman,Unjani Elma Yulianti S.Pt,1856,19384
Cengkir Cahya Budiman,Yance Oktaviani,1857,19402
Cengkir Catur Wahyudin,Paramita Zulaikha Nasyidah,1858,19412
Cengkir Ghani Wibowo,Eka Sabrina Wulandari,1859,19413
Cengkir Haryanto,Salsabila Tiara Aryani M.Pd,1860,19420
Cengkir Iswahyudi,Septi Samiah Astuti S.Farm,1861,19436
Cengkir Kurniawan,Chelsea Safitri,1862,19456
Cengkir Laksana Prayoga S.E.,Fitria Farida,1863,19464
Cengkir Latupono,Rahayu Pertiwi M.Farm,1864,19465
Cengkir Mansur,Alika Pudjiastuti,1865,19467
Cengkir Maulana,Zamira Yulianti,1866,19483
Cengkir Mustofa M.TI.,Nurul Melinda Nasyiah,1867,19495
Cengkir Prayoga,Hafshah Putri Farida,1868,19514
Cengkir Ramadan,Vivi Halimah S.Sos,1869,19529
Cengkir Setiawan,Hasna Kusmawati,1870,19547
Cengkir Sihotang S.Kom,Oni Wastuti,1871,19557
Cengkir Sinaga,Septi Rahmawati,1872,19572
Cengkir Wacana S.T.,Ida Rahayu S.Pd,1873,19586
Cengkir Zulkarnain,Jamalia Melani,1874,19606
Chandra Ajimat Wibowo S.Sos,Olivia Hesti Wijayanti S.Gz,1875,19614
Chandra Caraka Halim,Ami Haryanti,1876,19625
Chandra Cemani Ardianto M.Ak,Tira Padmi Safitri,1877,19631
Chandra Firmansyah,Septi Nasyidah M.TI.,1878,19644
Chandra Galiono Saputra S.E.I,Vera Mandasari,1879,19649
Chandra Habibi M.TI.,Yessi Suartini,1880,19654
Chandra Jailani,Winda Yuniar S.Farm,1881,19674
Chandra Maheswara,Laras Anggraini,1882,19694
Chandra Maulana,Ani Gilda Lailasari S.Farm,1883,19700
Chandra Nainggolan S.Pt,Ira Permata M.TI.,1884,19714
Chandra Prabowo,Jessica Purwanti,1885,19727
Chandra Prasetyo,Siska Wastuti,1886,19747
Chandra Rafi Napitupulu S.Pt,Elisa Gabriella Mayasari,1887,19748
Chandra Rafid Simbolon,Paris Hariyah,1888,19751
Chandra Saefullah S.T.,Anita Laksita S.I.Kom,1889,19761
Chandra Saka Saragih S.Gz,Uchita Yolanda S.Kom,1890,19781
Chandra Samosir,Iriana Sudiati,1891,19793
Chandra Simanjuntak,Dalima Intan Zulaika,1892,19812
Chandra Siregar,Tantri Rahimah,1893,19832
Chandra Suryono,Icha Hartati S.Ked,1894,19842
Chandra Tamba,Qori Palastri,1895,19851
Chandra Uwais M.Ak,Restu Puspasari S.Psi,1896,19862
Chandra Waluyo,Farhunnisa Lintang Yuniar S.Ked,1897,19881
Chandra Xanana Tamba S.E.I,Ifa Susanti S.Kom,1898,19895
Dacin Ardianto,Vivi Puspasari,1899,19896
Dacin Banawa Anggriawan,Kamila Pratiwi S.T.,1900,19908
Dacin Dimaz Megantara,Kamaria Wulandari S.H.,1901,19926
Dacin Gunawan,Mila Kania Lailasari S.Kom,1902,19938
Dacin Habibi,Farhunnisa Hariyah,1903,19949
Dacin Hendra Rajasa S.IP,Dalima Unjani Wijayanti M.Farm,1904,19961
Dacin Hidayanto,Uli Puspasari M.TI.,1905,19973
Dacin Hidayanto M.M.,Cornelia Wastuti S.Pd,1906,19975
Dacin Hidayanto S.Sos,Ifa Hamima Suryatmi S.E.I,1907,19990
Dacin Jabal Santoso S.Gz,Maida Yuliarti,1908,19999
Dacin Lanang Wibowo M.Pd,Yunita Handayani M.Farm,1909,20011
Dacin Lantar Uwais M.M.,Puti Ira Permata,1910,20017
Dacin Latupono,Ina Nasyiah,1911,20034
Dacin Lazuardi,Samiah Nadine Hasanah,1912,20048
Dacin Opung Jailani,Kasiyah Kusmawati,1913,20058
Dacin Pranawa Hakim S.T.,Mutia Wahyuni S.Gz,1914,20062
Dacin Pratama M.Kom.,Diana Hariyah,1915,20081
Dacin Putra,Gawati Nabila Yulianti S.Sos,1916,20082
Dacin Situmorang,Latika Keisha Hasanah,1917,20090
Dacin Wibisono,Ana Pertiwi,1918,20101
Dacin Wibisono S.Psi,Zahra Wulan Pudjiastuti,1919,20104
Dadap Adriansyah,Wulan Intan Yuliarti M.TI.,1920,20124
Dadap Ardianto,Ana Patricia Yolanda,1921,20125
Dadap Bagus Firmansyah M.TI.,Lidya Farida,1922,20133
Dadap Budiman,Betania Palastri S.Pt,1923,20151
Dadap Cawisadi Sihotang,Fitria Winarsih,1924,20152
Dadap Chandra Sirait,Septi Ira Maryati,1925,20167
Dadap Damanik,Cornelia Tiara Agustina S.IP,1926,20169
Dadap Dasa Mustofa S.Pd,Ciaobella Eva Puspita,1927,20185
Dadap Dimas Maheswara M.TI.,Oni Lestari,1928,20193
Dadap Dongoran,Paris Ophelia Purwanti,1929,20211
Dadap Irawan S.I.Kom,Aurora Ana Pudjiastuti,1930,20219
Dadap Karsana Setiawan S.Farm,Cindy Namaga M.Pd,1931,20232
Dadap Muni Mandala S.Pd,Titi Purwanti,1932,20249
Dadap Niyaga Thamrin M.TI.,Elma Maryati,1933,20253
Dadap Permadi S.E.,Rina Wastuti M.Kom.,1934,20272
Dadap Prasetyo,Winda Purwanti,1935,20275
Dadap Tampubolon,Yessi Astuti,1936,20285
Dadap Tarihoran,Zelaya Purwanti,1937,20297
Dadap Umaya Kusumo S.IP,Aisyah Utami,1938,20298
Dadap Uwais,Elvina Qori Padmasari S.Farm,1939,20302
Dadap Wibisono M.Pd,Ami Mandasari,1940,20317
Dadap Widodo,Rini Usamah,1941,20331
Dadi Cengkir Hidayanto S.E.I,Melinda Palastri S.T.,1942,20338
Dadi Cengkir Mangunsong,Jessica Pudjiastuti,1943,20348
Dadi Gandi Wijaya M.Pd,Cinthia Laksita,1944,20367
Dadi Gilang Hidayanto S.T.,Puji Hassanah S.Pd,1945,20384
Dadi Haryanto,Devi Lailasari,1946,20401
Dadi Hutagalung,Karimah Anggraini M.M.,1947,20421
Dadi Hutasoit,Jane Maida Yulianti S.Ked,1948,20432
Dadi Januar S.Pd,Kiandra Mandasari S.Pt,1949,20446
Dadi Karsana Prasasta S.Farm,Putri Mayasari S.Psi,1950,20457
Dadi Kurniawan,Sarah Riyanti,1951,20471
